QueryAcc	Query_Length	HitDescription	HitName	HItLength	HitBits	HSP_rank	%ID	eValue	Query_Start	Query_End	Hit_start	Hit_end	HSP_length
g2.t1	399	2-5A-dependent ribonuclease OS=Mus musculus OX=10090 GN=Rnasel PE=1 SV=2	sp|Q05921|RN5A_MOUSE	735	48.1358	1	34.8837209302326	4.1428e-06	25	267	125	206	86
g3.t1	3567	DNA mismatch repair protein MSH6 OS=Arabidopsis thaliana OX=3702 GN=MSH6 PE=1 SV=2	sp|O04716|MSH6_ARATH	1324	53.5286	1	41.8181818181818	1.6079e-05	379	543	121	175	55
g4.t1	963	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A OS=Homo sapiens OX=9606 GN=GSPT1 PE=1 SV=1	sp|P15170|ERF3A_HUMAN	499	234.958	1	72.2972972972973	2.94196e-72	511	954	69	216	148
g9.t1	471	Thylakoid-associated protein slr0729 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr0729 PE=4 SV=1	sp|P72673|Y729_SYNY3	101	47.7506	1	29.4736842105263	1.4854e-06	187	468	11	99	95
g10.t1	1827	Threonylcarbamoyl-AMP synthase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=sua5 PE=3 SV=1	sp|O94530|SUA5_SCHPO	408	217.238	1	50.8264462809917	3.6676e-63	580	1242	58	299	242
g15.t1	270	Protein transport protein Sec61 subunit beta OS=Chlamydomonas reinhardtii OX=3055 GN=SEC61B PE=1 SV=1	sp|A8I6P9|SC61B_CHLRE	89	65.4698	1	53.7037037037037	2.15357e-14	106	261	36	89	54
g16.t1	897	Probable prolyl 4-hydroxylase 4 OS=Arabidopsis thaliana OX=3702 GN=P4H4 PE=2 SV=1	sp|Q8LAN3|P4H4_ARATH	298	157.147	1	41.0788381742739	9.49238e-45	1	708	69	289	241
g17.t1	1104	GATA transcription factor 3 OS=Arabidopsis thaliana OX=3702 GN=GATA3 PE=2 SV=2	sp|Q8L4M6|GATA3_ARATH	269	62.003	1	56.0975609756098	1.17307e-09	79	201	171	211	41
g19.t1	5985	Histone-lysine N-methyltransferase, H3 lysine-9 specific SUVH3 OS=Chlamydomonas reinhardtii OX=3055 GN=SUVH3 PE=2 SV=1	sp|Q5QD03|SUVH3_CHLRE	957	190.274	1	44.0528634361233	1.5523e-47	2509	3138	290	514	227
g22.t1	8085	Vegetative incompatibility protein HET-E-1 OS=Podospora anserina OX=5145 GN=HET-E1 PE=4 SV=1	sp|Q00808|HETE1_PODAS	1356	109.383	1	24.3852459016393	3.66238e-22	3469	4929	833	1252	488
