QueryAcc	Query_Length	HitDescription	HitName	HItLength	HitBits	HSP_rank	%ID	eValue	Query_Start	Query_End	Hit_start	Hit_end	HSP_length
g1.t1	817	hypothetical protein CEUSTIGMA_g3421.t1 [Chlamydomonas eustigma]	gi|1238995578|dbj|GAX75978.1|	1443	260.766	1	54.2635658914729	1.40932e-75	10	774	11	268	258
g2.t1	399	ankyrin, partial [Anaeromyces robustus]	gi|1183350135|gb|ORX78377.1|	235	65.4698	1	40.2298850574713	3.60504e-10	19	279	18	96	87
g3.t1	3567	hypothetical protein CEUSTIGMA_g3419.t1 [Chlamydomonas eustigma]	gi|1238995576|dbj|GAX75976.1|	1103	172.17	1	38.4615384615385	1.14694e-39	805	1674	330	597	299
g4.t1	963	hypothetical protein CEUSTIGMA_g3418.t1 [Chlamydomonas eustigma]	gi|1238995575|dbj|GAX75975.1|	623	310.457	1	89.5061728395062	1.17357e-97	469	954	172	333	162
g6.t1	291	hypothetical protein CHLRE_10g421079v5 [Chlamydomonas reinhardtii]	gi|1335042461|gb|PNW77074.1|	103	82.8037	1	58.3333333333333	1.65575e-18	103	282	34	93	60
g7.t1	7908	hypothetical protein CEUSTIGMA_g3945.t1 [Chlamydomonas eustigma]	gi|1238994727|dbj|GAX76500.1|	2934	156.377	1	32.6785714285714	7.47791e-34	6334	7761	2313	2860	560
g9.t1	471	hypothetical protein CEUSTIGMA_g3416.t1 [Chlamydomonas eustigma]	gi|1238995573|dbj|GAX75973.1|	139	164.466	1	62.1212121212121	3.00127e-49	76	468	11	139	132
g10.t1	1827	hypothetical protein GPECTOR_108g190 [Gonium pectorale]	gi|1004134917|gb|KXZ42995.1|	463	331.257	1	78.8288288288288	1.17991e-103	580	1245	48	269	222
g12.t1	1422	hypothetical protein CEUSTIGMA_g11353.t1 [Chlamydomonas eustigma]	gi|1238987328|dbj|GAX83929.1|	543	82.4185	1	23.4375	5.6429e-13	19	1299	3	505	512
g13.t1	1425	hypothetical protein CEUSTIGMA_g6681.t1 [Chlamydomonas eustigma]	gi|1238992126|dbj|GAX79241.1|	520	60.8474	1	26.9102990033223	4.50985e-06	334	1092	91	390	301
